TableId,TableName,ColumnName,ColumnType,IsMetric,IsCurrency,IsCommon,IsCommonMetric,IsCommonField
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,spaceclose,Date,FALSE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,specs,String,FALSE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,spots,Decimal,TRUE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,station,String,FALSE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,subchannel,String,FALSE,FALSE,TRUE,FALSE,TRUE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,supplierfreetext,String,FALSE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,suppliertaxonomy,String,FALSE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,suppliertype,String,FALSE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,system_campaignid,String,FALSE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,system_mediaplanid,String,FALSE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,tacticalctc,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,tacticalctc_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,targeting,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,titlefreetext,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,titletaxonomy,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,totalclient,Decimal,TRUE,TRUE,TRUE,TRUE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,totalclient_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,totalfees,Decimal,TRUE,TRUE,TRUE,TRUE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,totalfees_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,totalnet,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,totalnet_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,totaltax,Decimal,TRUE,TRUE,TRUE,TRUE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,totaltax_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,unitid,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,unitmix,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,unitrate,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,unitrate_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,units,Decimal,TRUE,FALSE,TRUE,TRUE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,unitsize,String,FALSE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,vat,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,vat_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,vehicle,String,FALSE,TRUE,TRUE,FALSE,TRUE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,vendorfreetext,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,vendortaxonomy,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,week_text,Date,FALSE,TRUE,FALSE,FALSE,FALSE
